loan_id,age,gender,job_title,annual_income,loan_amount,loan_purpose,credit_score,number_of_dependents,applicant_statement,loan_status,sentiment,text_risk_prob,text_risk,annual_income_safe,loan_to_income_ratio,sentiment_risk,credit_risk,lti_risk,dependents_risk,purpose_risk,risk_score,risk_category,loan_intent
L1001,45,Male,Accountant,85000,15000,Home,745,2,I plan to use these funds for a down payment on a modest house. My steady income ensures timely monthly repayments without issue.,1,Neutral,0.4916669130325317,1,85000,0.1764705882352941,1,1,0,1,0,7,Medium,Personal/Lifestyle
L1002,22,Female,Retail Associate,32000,5000,Personal,610,1,I really need this money immediately to cover some unexpected medical bills. I'm hoping for a quick approval as I'm not sure how else to manage it right now.,0,Negative,0.8520808219909668,2,32000,0.15625,2,3,0,1,2,18,High,Personal/Lifestyle
L1003,38,Male,Software Engineer,125000,35000,Business,790,0,Expansion of my successful tech consulting firm requires capital investment in new equipment. I have a detailed repayment schedule prepared.,1,Neutral,0.5426777601242065,1,125000,0.28,1,0,1,0,1,6,Medium,Business/Investment
L1004,55,Female,Nurse,72000,10000,Education,705,3,This loan is essential for my child's university tuition. I have always prioritized education and will structure payments around my stable nursing schedule.,1,Positive,0.6455004215240479,1,72000,0.1388888888888889,0,1,0,2,1,8,Medium,Personal/Lifestyle
L1005,31,Male,Driver,41000,8000,Personal,580,1,"Things have been tight lately, and this small loan would really help stabilize my finances for the next few months. I promise to pay it back quickly.",0,Positive,0.3047634363174438,0,41000,0.1951219512195122,0,3,0,1,2,12,High,Personal/Lifestyle
L1006,62,Female,Retired,45000,4000,Medical,755,2,"My pension income is reliable, and this small amount is needed for necessary dental work. I expect no problems with repayment.",1,Positive,0.2374449968338012,0,45000,0.0888888888888888,0,0,0,1,1,2,Low,Personal/Lifestyle
L1007,28,Male,Marketing Specialist,55000,18000,Home,670,0,"We are looking to purchase our first condo, and this loan will bridge the gap until the next salary disbursement. I'm quite confident in our joint financial standing.",1,Positive,0.4965452551841736,1,55000,0.3272727272727272,0,2,1,0,0,10,Medium,Personal/Lifestyle
L1008,41,Female,Teacher,64000,12000,Education,720,2,Funds are required to complete some professional development courses necessary for career advancement. My employment history is strong.,1,Positive,0.5346280336380005,1,64000,0.1875,0,1,0,1,1,7,Medium,Personal/Lifestyle
L1009,50,Male,Construction Manager,95000,25000,Business,760,4,I need working capital to secure a large new contract. My cash flow projections are very positive for the coming year.,1,Positive,0.6110153198242188,1,95000,0.2631578947368421,0,0,1,2,1,7,Medium,Business/Investment
L1010,24,Female,Student,18000,3000,Personal,550,0,"I'm currently studying and have part-time work, but I need a little extra cash for rent this month. I'll get a better job soon, I promise.",0,Negative,0.5874412655830383,1,18000,0.1666666666666666,2,3,0,0,2,15,High,Personal/Lifestyle
L1011,36,Male,Sales Representative,70000,14000,Personal,685,1,A necessary personal expense came up that I must address immediately. I have budgeted carefully to ensure repayment.,1,Positive,0.5938126444816589,1,70000,0.2,0,2,0,1,2,11,High,Personal/Lifestyle
