loan_id,age,gender,job_title,annual_income,loan_amount,loan_purpose,credit_score,number_of_dependents,applicant_statement,loan_status,sentiment,annual_income_safe,loan_to_income_ratio,dependents_bucket,risk_category,sentiment_risk,credit_risk,lti_risk,dependents_risk,purpose_risk,risk_score,risk_category_rules,risk_context
L1001,45,Male,Accountant,85000,15000,Home,745,2,I plan to use these funds for a down payment on a modest house. My steady income ensures timely monthly repayments without issue.,1,Positive,85000,0.17647058823529413,1-2,Low,0,1,0,1,0,4,Low,"Applicant statement: I plan to use these funds for a down payment on a modest house. My steady income ensures timely monthly repayments without issue.
credit_score: 745
annual_income: 85000
loan_amount: 15000
loan_to_income_ratio: 0.176
number_of_dependents: 2
loan_purpose: Home
sentiment: Positive"
L1002,22,Female,Retail Associate,32000,5000,Personal,610,1,I really need this money immediately to cover some unexpected medical bills. I'm hoping for a quick approval as I'm not sure how else to manage it right now.,0,Negative,32000,0.15625,1-2,High,2,3,0,1,2,14,High,"Applicant statement: I really need this money immediately to cover some unexpected medical bills. I'm hoping for a quick approval as I'm not sure how else to manage it right now.
credit_score: 610
annual_income: 32000
loan_amount: 5000
loan_to_income_ratio: 0.156
number_of_dependents: 1
loan_purpose: Personal
sentiment: Negative"
L1003,38,Male,Software Engineer,125000,35000,Business,790,0,Expansion of my successful tech consulting firm requires capital investment in new equipment. I have a detailed repayment schedule prepared.,1,Positive,125000,0.28,0,Low,0,0,1,0,1,3,Low,"Applicant statement: Expansion of my successful tech consulting firm requires capital investment in new equipment. I have a detailed repayment schedule prepared.
credit_score: 790
annual_income: 125000
loan_amount: 35000
loan_to_income_ratio: 0.28
number_of_dependents: 0
loan_purpose: Business
sentiment: Positive"
L1004,55,Female,Nurse,72000,10000,Education,705,3,This loan is essential for my child's university tuition. I have always prioritized education and will structure payments around my stable nursing schedule.,1,Positive,72000,0.1388888888888889,3+,Low,0,1,0,2,1,6,Medium,"Applicant statement: This loan is essential for my child's university tuition. I have always prioritized education and will structure payments around my stable nursing schedule.
credit_score: 705
annual_income: 72000
loan_amount: 10000
loan_to_income_ratio: 0.139
number_of_dependents: 3
loan_purpose: Education
sentiment: Positive"
L1005,31,Male,Driver,41000,8000,Personal,580,1,"Things have been tight lately, and this small loan would really help stabilize my finances for the next few months. I promise to pay it back quickly.",0,Positive,41000,0.1951219512195122,1-2,High,0,3,0,1,2,12,High,"Applicant statement: Things have been tight lately, and this small loan would really help stabilize my finances for the next few months. I promise to pay it back quickly.
credit_score: 580
annual_income: 41000
loan_amount: 8000
loan_to_income_ratio: 0.195
number_of_dependents: 1
loan_purpose: Personal
sentiment: Positive"
L1006,62,Female,Retired,45000,4000,Medical,755,2,"My pension income is reliable, and this small amount is needed for necessary dental work. I expect no problems with repayment.",1,Positive,45000,0.08888888888888889,1-2,Low,0,0,0,1,1,2,Low,"Applicant statement: My pension income is reliable, and this small amount is needed for necessary dental work. I expect no problems with repayment.
credit_score: 755
annual_income: 45000
loan_amount: 4000
loan_to_income_ratio: 0.089
number_of_dependents: 2
loan_purpose: Medical
sentiment: Positive"
L1007,28,Male,Marketing Specialist,55000,18000,Home,670,0,"We are looking to purchase our first condo, and this loan will bridge the gap until the next salary disbursement. I'm quite confident in our joint financial standing.",1,Positive,55000,0.32727272727272727,0,Medium,0,2,1,0,0,8,Medium,"Applicant statement: We are looking to purchase our first condo, and this loan will bridge the gap until the next salary disbursement. I'm quite confident in our joint financial standing.
credit_score: 670
annual_income: 55000
loan_amount: 18000
loan_to_income_ratio: 0.327
number_of_dependents: 0
loan_purpose: Home
sentiment: Positive"
L1008,41,Female,Teacher,64000,12000,Education,720,2,Funds are required to complete some professional development courses necessary for career advancement. My employment history is strong.,1,Positive,64000,0.1875,1-2,Low,0,1,0,1,1,5,Medium,"Applicant statement: Funds are required to complete some professional development courses necessary for career advancement. My employment history is strong.
credit_score: 720
annual_income: 64000
loan_amount: 12000
loan_to_income_ratio: 0.188
number_of_dependents: 2
loan_purpose: Education
sentiment: Positive"
L1009,50,Male,Construction Manager,95000,25000,Business,760,4,I need working capital to secure a large new contract. My cash flow projections are very positive for the coming year.,1,Positive,95000,0.2631578947368421,3+,Low,0,0,1,2,1,5,Medium,"Applicant statement: I need working capital to secure a large new contract. My cash flow projections are very positive for the coming year.
credit_score: 760
annual_income: 95000
loan_amount: 25000
loan_to_income_ratio: 0.263
number_of_dependents: 4
loan_purpose: Business
sentiment: Positive"
L1010,24,Female,Student,18000,3000,Personal,550,0,"I'm currently studying and have part-time work, but I need a little extra cash for rent this month. I'll get a better job soon, I promise.",0,Negative,18000,0.16666666666666666,0,High,2,3,0,0,2,13,High,"Applicant statement: I'm currently studying and have part-time work, but I need a little extra cash for rent this month. I'll get a better job soon, I promise.
credit_score: 550
annual_income: 18000
loan_amount: 3000
loan_to_income_ratio: 0.167
number_of_dependents: 0
loan_purpose: Personal
sentiment: Negative"
L1011,36,Male,Sales Representative,70000,14000,Personal,685,1,A necessary personal expense came up that I must address immediately. I have budgeted carefully to ensure repayment.,1,Positive,70000,0.2,1-2,Medium,0,2,0,1,2,9,High,"Applicant statement: A necessary personal expense came up that I must address immediately. I have budgeted carefully to ensure repayment.
credit_score: 685
annual_income: 70000
loan_amount: 14000
loan_to_income_ratio: 0.2
number_of_dependents: 1
loan_purpose: Personal
sentiment: Positive"
L1012,49,Female,Data Analyst,110000,22000,Home,780,1,We are refinancing our mortgage to secure a better rate. My income stability makes this a low-risk proposition.,1,Positive,110000,0.2,1-2,Low,0,0,0,1,0,1,Low,"Applicant statement: We are refinancing our mortgage to secure a better rate. My income stability makes this a low-risk proposition.
credit_score: 780
annual_income: 110000
loan_amount: 22000
loan_to_income_ratio: 0.2
number_of_dependents: 1
loan_purpose: Home
sentiment: Positive"
L1013,33,Male,Electrician,68000,11000,Business,650,3,I am purchasing new tools for my growing electrical business. I just need this boost to take on bigger projects.,1,Positive,68000,0.16176470588235295,3+,Medium,0,2,0,2,1,9,High,"Applicant statement: I am purchasing new tools for my growing electrical business. I just need this boost to take on bigger projects.
credit_score: 650
annual_income: 68000
loan_amount: 11000
loan_to_income_ratio: 0.162
number_of_dependents: 3
loan_purpose: Business
sentiment: Positive"
L1014,60,Female,Librarian,58000,7000,Medical,715,3,"Needed for ongoing treatment costs. My retirement savings, combined with my current income, should cover this easily.",1,Positive,58000,0.1206896551724138,3+,Low,0,1,0,2,1,6,Medium,"Applicant statement: Needed for ongoing treatment costs. My retirement savings, combined with my current income, should cover this easily.
credit_score: 715
annual_income: 58000
loan_amount: 7000
loan_to_income_ratio: 0.121
number_of_dependents: 3
loan_purpose: Medical
sentiment: Positive"
L1015,26,Male,Barista,28000,6000,Personal,595,0,I'm a bit short on funds until my next paycheck comes through. This small loan would really save me from late fees on other bills.,0,Negative,28000,0.21428571428571427,0,High,2,3,1,0,2,15,High,"Applicant statement: I'm a bit short on funds until my next paycheck comes through. This small loan would really save me from late fees on other bills.
credit_score: 595
annual_income: 28000
loan_amount: 6000
loan_to_income_ratio: 0.214
number_of_dependents: 0
loan_purpose: Personal
sentiment: Negative"
L1016,44,Female,Accountant,92000,19000,Home,750,2,Securing a larger loan for home renovations. I have excellent financial discipline and this fits well within my budget.,1,Positive,92000,0.20652173913043478,1-2,Low,0,0,1,1,0,3,Low,"Applicant statement: Securing a larger loan for home renovations. I have excellent financial discipline and this fits well within my budget.
credit_score: 750
annual_income: 92000
loan_amount: 19000
loan_to_income_ratio: 0.207
number_of_dependents: 2
loan_purpose: Home
sentiment: Positive"
L1017,30,Male,Warehouse Worker,40000,10000,Personal,575,1,"Facing severe financial strain and need immediate relief to stop mounting debt interest. Please approve this, I'm desperate.",0,Negative,40000,0.25,1-2,High,2,3,1,1,2,16,High,"Applicant statement: Facing severe financial strain and need immediate relief to stop mounting debt interest. Please approve this, I'm desperate.
credit_score: 575
annual_income: 40000
loan_amount: 10000
loan_to_income_ratio: 0.25
number_of_dependents: 1
loan_purpose: Personal
sentiment: Negative"
L1018,52,Female,Doctor,180000,45000,Education,820,2,Funding advanced medical research fellowships. My professional standing and assets support this investment.,1,Positive,180000,0.25,1-2,Low,0,0,1,1,1,4,Low,"Applicant statement: Funding advanced medical research fellowships. My professional standing and assets support this investment.
credit_score: 820
annual_income: 180000
loan_amount: 45000
loan_to_income_ratio: 0.25
number_of_dependents: 2
loan_purpose: Education
sentiment: Positive"
L1019,37,Male,IT Consultant,115000,28000,Business,775,0,Investing in specialized certification for my consulting practice to increase billable hours. Repayment is prioritized.,1,Positive,115000,0.24347826086956523,0,Low,0,0,1,0,1,3,Low,"Applicant statement: Investing in specialized certification for my consulting practice to increase billable hours. Repayment is prioritized.
credit_score: 775
annual_income: 115000
loan_amount: 28000
loan_to_income_ratio: 0.243
number_of_dependents: 0
loan_purpose: Business
sentiment: Positive"
L1020,21,Female,Cashier,25000,2500,Personal,520,0,I made a bad choice with credit cards and need to consolidate this urgent debt. I swear I won't get into this situation again.,0,Negative,25000,0.1,0,High,2,3,0,0,2,13,High,"Applicant statement: I made a bad choice with credit cards and need to consolidate this urgent debt. I swear I won't get into this situation again.
credit_score: 520
annual_income: 25000
loan_amount: 2500
loan_to_income_ratio: 0.1
number_of_dependents: 0
loan_purpose: Personal
sentiment: Negative"
L1021,48,Male,Engineer,135000,40000,Home,805,3,"Acquiring a vacation property requires this funding. My consistent, high-level income stream is well documented.",1,Positive,135000,0.2962962962962963,3+,Low,0,0,1,2,0,4,Low,"Applicant statement: Acquiring a vacation property requires this funding. My consistent, high-level income stream is well documented.
credit_score: 805
annual_income: 135000
loan_amount: 40000
loan_to_income_ratio: 0.296
number_of_dependents: 3
loan_purpose: Home
sentiment: Positive"
